timestamp,time for refresh
2019-09-05_1100,1:08:09.176647
2019-09-05_1200,0:20:02.893721
2019-09-06_0200,0:52:08.702637
2019-09-06_0300,1:02:09.020142
2019-09-06_0400,0:54:23.249351
2019-09-06_0500,0:14:01.884187
2019-09-06_0600,0:32:04.651799
2019-09-06_0700,0:02:00.454236
2019-09-06_0800,1:10:08.810370
2019-09-06_0900,1:08:08.456083
2019-09-06_1000,1:02:08.439191
2019-09-06_1100,1:06:09.675557
2019-09-06_1200,1:00:09.263197
2019-09-06_1300,1:02:09.815900
2019-09-06_1400,1:00:09.922898
2019-09-06_1500,0:58:07.700962
2019-09-06_1600,1:08:09.521244
2019-09-06_1700,1:00:08.844317
2019-09-06_1800,0:40:06.572024
2019-09-06_1900,0:56:09.699359
2019-09-06_2000,1:06:09.782137
2019-09-06_2100,1:04:09.532848
2019-09-07_0200,1:12:12.868554
2019-09-07_0300,1:02:10.403783
2019-09-07_0400,0:20:04.340859
2019-09-07_0500,0:22:04.022563
2019-09-07_0600,0:02:00.876897
2019-09-07_0700,0:02:00.571476
2019-09-07_0800,0:24:04.179333
2019-09-07_0900,1:00:10.426890
2019-09-07_1000,0:58:13.620046
